2020.01.10 10:14:35 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/plugins/download
2020.01.10 10:14:35 WARN  web[][o.s.a.s.w.WebService$Action] The response example is not set on action api/permissions/search_templates
2020.01.10 10:14:35 INFO  web[][o.s.s.t.TelemetryDaemon] Sharing of SonarQube statistics is enabled.
2020.01.10 10:14:35 INFO  web[][o.s.s.n.NotificationDaemon] Notification service started (delay 60 sec.)
2020.01.10 10:14:35 INFO  web[][o.s.s.s.GeneratePluginIndex] Generate scanner plugin index
2020.01.10 10:14:35 INFO  web[][o.s.s.s.RegisterPlugins] Register plugins
2020.01.10 10:14:35 INFO  web[][o.s.s.s.RegisterMetrics] Register metrics
2020.01.10 10:14:36 INFO  web[][o.s.s.r.RegisterRules] Register rules
2020.01.10 10:14:46 INFO  web[][o.s.s.q.BuiltInQProfileRepositoryImpl] Load quality profiles
2020.01.10 10:14:50 INFO  web[][o.s.s.q.RegisterQualityProfiles] Register quality profiles
2020.01.10 10:14:50 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile css/Sonar way
2020.01.10 10:14:50 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile scala/Sonar way
2020.01.10 10:14:50 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile jsp/Sonar way
2020.01.10 10:14:50 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile kotlin/Sonar way
2020.01.10 10:14:50 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile go/Sonar way
2020.01.10 10:14:50 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile js/Sonar way Recommended
2020.01.10 10:14:51 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile js/Sonar way
2020.01.10 10:14:51 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile py/Sonar way
2020.01.10 10:14:51 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ruby/Sonar way
2020.01.10 10:14:51 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile cs/Sonar way
2020.01.10 10:14:52 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile java/Sonar way
2020.01.10 10:14:52 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile web/Sonar way
2020.01.10 10:14:52 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile flex/Sonar way
2020.01.10 10:14:53 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile xml/Sonar way
2020.01.10 10:14:53 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/Sonar way
2020.01.10 10:14:53 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/PSR-2
2020.01.10 10:14:53 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile php/Drupal
2020.01.10 10:14:53 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile vbnet/Sonar way
2020.01.10 10:14:53 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ts/Sonar way
2020.01.10 10:14:53 INFO  web[][o.s.s.q.RegisterQualityProfiles] Update profile ts/Sonar way recommended
2020.01.10 10:14:54 INFO  web[][o.s.s.s.RegisterPermissionTemplates] Register permission templates
2020.01.10 10:14:54 INFO  web[][o.s.s.s.RenameDeprecatedPropertyKeys] Rename deprecated property keys
2020.01.10 10:14:54 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceFilter@22a74f46 [pattern=UrlPattern{inclusions=[/api/issues/delete_comment.*, ...], exclusions=[/api/properties*, ...]}]
2020.01.10 10:14:54 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.DeprecatedPropertiesWsFilter@399fdf2 [pattern=UrlPattern{inclusions=[/api/properties/*], exclusions=[]}]
2020.01.10 10:14:54 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.ws.WebServiceReroutingFilter@c433b73 [pattern=UrlPattern{inclusions=[/api/components/bulk_update_key, ...], exclusions=[]}]
2020.01.10 10:14:54 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.InitFilter@76ca4a69 [pattern=UrlPattern{inclusions=[/sessions/init/*], exclusions=[]}]
2020.01.10 10:14:54 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.OAuth2CallbackFilter@609198a4 [pattern=UrlPattern{inclusions=[/oauth2/callback/*], exclusions=[]}]
2020.01.10 10:14:54 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LoginAction@4dd77185 [pattern=UrlPattern{inclusions=[/api/authentication/login], exclusions=[]}]
2020.01.10 10:14:54 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.LogoutAction@318de8c7 [pattern=UrlPattern{inclusions=[/api/authentication/logout], exclusions=[]}]
2020.01.10 10:14:54 INFO  web[][o.s.s.p.w.MasterServletFilter] Initializing servlet filter org.sonar.server.authentication.ws.ValidateAction@794a46ea [pattern=UrlPattern{inclusions=[/api/authentication/validate], exclusions=[]}]
2020.01.10 10:14:54 INFO  web[][o.s.s.q.ProjectsInWarningDaemon] Counting number of projects in warning is not started as there are no projects in this situation.
2020.01.10 10:14:54 INFO  web[][o.s.s.p.p.PlatformLevelStartup] Running Community Edition
2020.01.10 10:14:54 INFO  web[][o.s.s.p.Platform] WebServer is operational
